timestamp,open,high,low,close,volume,positiveCrossover,negativeCrossover,entrySignal,exitSignal,distance,longSmaVelocity,distanceVelocity
Mon Jan 05 2026 15:35:00 GMT+0000 (Coordinated Universal Time),7004,7004,7000.75,7000.75,NaN,,,,,4.100000000000364,,
Mon Jan 05 2026 15:35:00 GMT+0000 (Coordinated Universal Time),7004,7004,7000.75,7000.75,NaN,,,,,4.100000000000364,,
Mon Jan 05 2026 15:35:00 GMT+0000 (Coordinated Universal Time),7004,7004,7000,7000,NaN,,,,,4.024999999999636,,
Mon Jan 05 2026 15:35:00 GMT+0000 (Coordinated Universal Time),7004,7004,7000,7001,NaN,,,,,4.125,,
Mon Jan 05 2026 15:40:00 GMT+0000 (Coordinated Universal Time),7003,7003,7001.75,7001.75,,,,,,3.800000000000182,,
Mon Jan 05 2026 15:40:00 GMT+0000 (Coordinated Universal Time),7003,7003,7001.75,7003,NaN,,,,,3.925000000000182,,
Mon Jan 05 2026 15:40:00 GMT+0000 (Coordinated Universal Time),7003,7003,7001.75,7002.75,NaN,,,,,3.899999999999636,,
Mon Jan 05 2026 15:40:00 GMT+0000 (Coordinated Universal Time),7003,7003,7001.75,7003,NaN,,,,,3.925000000000182,,
Mon Jan 05 2026 15:40:00 GMT+0000 (Coordinated Universal Time),7003,7003,7001,7001,NaN,,,,,3.725000000000364,,
Mon Jan 05 2026 15:45:00 GMT+0000 (Coordinated Universal Time),7000.5,7000.5,7000.5,7000.5,,,,,,2.774999999999636,,
Mon Jan 05 2026 15:45:00 GMT+0000 (Coordinated Universal Time),7000.5,7002.75,7000.5,7002.75,NaN,,,,,3,,
Mon Jan 05 2026 15:45:00 GMT+0000 (Coordinated Universal Time),7000.5,7003.25,7000.5,7000.75,NaN,,,,,2.800000000000182,,
Mon Jan 05 2026 15:45:00 GMT+0000 (Coordinated Universal Time),7000.5,7003.25,7000.5,7003.25,NaN,,,,,3.050000000000182,,
Mon Jan 05 2026 15:45:00 GMT+0000 (Coordinated Universal Time),7000.5,7003.5,7000.5,7003.5,NaN,,,,,3.0750000000007276,,
Mon Jan 05 2026 14:55:00 GMT+0000 (Coordinated Universal Time),6987.75,6992,6987.75,6992,NaN,,,,,3.375,,
Fri Jan 02 2026 21:55:00 GMT+0000 (Coordinated Universal Time),6950,6950,6950,6950,,,,,,3.375,,
Fri Jan 02 2026 21:55:00 GMT+0000 (Coordinated Universal Time),6950,6950,6950,6950,,,,,,3.375,,
Mon Jan 05 2026 15:00:00 GMT+0000 (Coordinated Universal Time),6995,6995,6995,6995,,,,,,1.625,,
Mon Jan 05 2026 15:00:00 GMT+0000 (Coordinated Universal Time),6995,6995,6992,6992,NaN,,,,,1.324999999999818,,
Mon Jan 05 2026 15:00:00 GMT+0000 (Coordinated Universal Time),6995,6995,6991.75,6991.75,NaN,,,,,1.2999999999992724,,
Mon Jan 05 2026 15:00:00 GMT+0000 (Coordinated Universal Time),6995,6995,6988.75,6988.75,NaN,,,,,1,,
